,movie_title,year,director,actors,war,biography,western,thriller,adventure,romance,reality-tv,mystery,horror,film-noir,musical,sport,animation,action,comedy,fantasy,history,sci-fi,music,crime,drama,family,overviews,description
1300,The Gunman,2015,Pierre Morel,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Eight years after fleeing the Congo following his assassination of that country's minister of mining, former assassin Jim Terrier is back, suffering from PTSD and digging wells to atone for his violent past. After an attempt is made on his life, Terrier flies to London to find out who wants him dead -- and why. Terrier's search leads him to a reunion with Annie, a woman he once loved, who is now married to an oily businessman with dealings in Africa.","['Eight years', 'Annie', 'Congo', 'Africa', 'PTSD', 'Terrier', 'London', 'Jim Terrier']"
1301,Into the Storm,2014,Steven Quale,"Richard Armitage, Sarah Wayne Callies, Matt Walsh, Max Deacon",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"As a new day begins in the town of Silverton, its residents have little reason to believe it will be anything other than ordinary. Mother Nature, however has other plans. In the span of just a few hours, an unprecedented onslaught of powerful tornadoes ravages Silverton. Storm trackers predict that the worst is still to come, as terrified residents seek shelter, and professional storm-chasers run toward the danger, hoping to study the phenomenon close up and get a once-in-a-lifetime shot.","['a new day', 'Mother Nature', 'just a few hours', 'Silverton']"
1302,Noah,2014,Darren Aronofsky,"Russell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,[]
1303,The Mortal Instruments: City of Bones,2013,Harald Zwart,"Lily Collins, Jamie Campbell Bower, Robert Sheehan, Jemima West",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"In New York City, Clary Fray, a seemingly ordinary teenager, learns that she is descended from a line of Shadowhunters ¡ª half-angel warriors who protect humanity from evil forces. After her mother disappears, Clary joins forces with a group of Shadowhunters and enters Downworld, an alternate realm filled with demons, vampires, and a host of other creatures. Clary and her companions must find and protect an ancient cup that holds the key to her mother's future.","['Shadowhunters', 'Clary', 'Clary Fray', 'Downworld', 'New York City']"
1304,The Host,2013,Andrew Niccol,"Saoirse Ronan, Max Irons, Jake Abel, Diane Kruger",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"A parasitic alien soul is injected into the body of Melanie Stryder. Instead of carrying out her race's mission of taking over the Earth, ""Wanda"" (as she comes to be called) forms a bond with her host and sets out to aid other free humans.","['Earth', 'Melanie Stryder', 'Wanda']"
1305,Haywire,2011,Steven Soderbergh,"Gina Carano, Ewan McGregor, Michael Fassbender, Michael Angarano",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,A black ops soldier seeks payback after she is betrayed and left for dead.,[]
1306,Battleship,2012,Peter Berg,"Alexander Skarsg?rd, Brooklyn Decker, Liam Neeson, Rihanna",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"When mankind beams a radio signal into space, a reply comes from ¡®Planet G¡¯, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential that his brother, and his fianc¨¦e's father¡ªan Admiral¡ªexpect of him.","['the USS John Paul Jones', 'Hopper', 'Alex Hopper', 'Planet G¡¯', 'Hawaii']"
1307,Pride and Prejudice and Zombies,2016,Burr Steers,"Lily James, Sam Riley, Jack Huston, Bella Heathcote",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen's classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet is a master of martial arts and weaponry and the handsome Mr. Darcy is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.","['Darcy', '19th century', 'Elizabeth Bennet', 'England', ""Jane Austen's""]"
1308,Oldboy,2013,Spike Lee,"Josh Brolin, Elizabeth Olsen, Samuel L. Jackson, Sharlto Copley",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,An everyday man has only three and a half days and limited resources to discover why he was imprisoned in a nondescript room for 20 years without any explanation.,"['20 years', 'only three and a half days']"
1309,Resident Evil: Afterlife,2010,Paul W.S. Anderson,"Milla Jovovich, Ali Larter, Wentworth Miller, Kim Coates",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"In a world ravaged by a virus infection, turning its victims into the Undead, Alice continues on her journey to find survivors and lead them to safety. Her deadly battle with the Umbrella Corporation reaches new heights, but Alice gets some unexpected help from an old friend. A new lead that promises a safe haven from the Undead takes them to Los Angeles, but when they arrive the city is overrun by thousands of Undead - and Alice and her comrades are about to step into a deadly trap.","['Los Angeles', 'the Umbrella Corporation', 'thousands', 'Alice']"
1310,2012,2009,Roland Emmerich,"John Cusack, Thandiwe Newton, Chiwetel Ejiofor, Amanda Peet",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.","['earth', 'Jackson Curtis', 'Thomas Wilson', 'Adrian Helmsley', 'U.S.', 'Curtis']"
1311,The Man from Toronto,2022,Patrick Hughes,"Kevin Hart, Woody Harrelson, Jasmine Mathews, Kaley Cuoco",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"In a case of mistaken identity, the world¡¯s deadliest assassin, known as the Man from Toronto, and a New York City screw-up are forced to team up after being confused for each other at a rental cabin.","['Toronto', 'New York City']"
1312,Saw V,2008,David Hackl,"Scott Patterson, Costas Mandylor, Tobin Bell, Betsy Russell",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,"Detective Hoffman is seemingly the last person alive to carry on the Jigsaw legacy. But when his secret is threatened, he must go on the hunt to eliminate all the loose ends.","['Hoffman', 'Jigsaw']"
1313,Straw Dogs,2011,Rod Lurie,"James Marsden, Kate Bosworth, Alexander Skarsg?rd, James Woods",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"L.A. screenwriter David Sumner relocates with his wife, Amy, to her hometown in the deep South. There, while tensions build between them, a brewing conflict with locals becomes a threat to them both.","['Amy', 'David Sumner', 'L.A.', 'South']"
1314,The Green Hornet,2011,Michel Gondry,"Seth Rogen, Jay Chou, Christoph Waltz, Cameron Diaz",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"Britt Reid, the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father dies, Britt meets Kato, a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky.","['Kato', 'Los Angeles', 'Britt', 'Chudnofsky', 'Britt Reid']"
1315,Without Remorse,2021,Stefano Sollima,"Michael B. Jordan, Jodie Turner-Smith, Jamie Bell, Guy Pearce",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,An elite Navy SEAL uncovers an international conspiracy while seeking justice for the murder of his pregnant wife.,['Navy SEAL']
1316,Wild Hogs,2007,Walt Becker,"Tim Allen, Martin Lawrence, John Travolta, William H. Macy",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Restless and ready for an adventure, four suburban bikers leave the safety of their subdivision and head out on the open road. But complications ensue when they cross paths with an intimidating band of New Mexico bikers known as the Del Fuegos.","['New Mexico', 'the Del Fuegos', 'four']"
1317,Cirque du Freak: The Vampire's Assistant,2009,Paul Weitz,"Chris Massoglia, John C. Reilly, Salma Hayek, Josh Hutcherson",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"Darren Shan is a regular teenage kid. He and his friend Steve find out about a Freak Show coming to town and work hard at trying to find tickets. They do, and together they go to ""Cirque du Freak"" where they see many strange acts including a wolf-man and a bearded lady","['Steve', 'a Freak Show', 'Shan', 'Darren', '""Cirque du Freak""']"
1318,Firewall,2006,Richard Loncraine,"Harrison Ford, Virginia Madsen, Paul Bettany, Carly Schroeder",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"State-of-the-art security system creator, Jack Stanfield has cemented his reputation as a man who's thought of everything. But when a criminal finds a way into Jack's personal life, everything Jack holds dear is suddenly at stake.","['Jack', 'Jack Stanfield']"
1319,Journey to the Center of the Earth,2008,Eric Brevig,"Brendan Fraser, Josh Hutcherson, Anita Briem, Seth Meyers",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",[]
1320,Blade: Trinity,2004,David S. Goyer,"Wesley Snipes, Kris Kristofferson, Parker Posey, Ryan Reynolds",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed¡ªThe Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him¡ªthe original vampire, Dracula.","['two', 'Dracula', 'FBI', 'Nightstalkers', 'Abigail', 'Hannibal', 'Blade', 'years']"
1321,Around the World in 80 Days,2004,Frank Coraci,"Jackie Chan, Steve Coogan, Jim Broadbent, Kathy Bates",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.","['Chinese', 'British', 'French', '80 days']"
1322,The League of Extraordinary Gentlemen,2003,Stephen Norrington,"Sean Connery, Stuart Townsend, Peta Wilson, Jason Flemyng",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"To prevent a world war from breaking out, famous characters from Victorian literature band together to do battle against a cunning villain.",['Victorian']
1323,Cradle 2 the Grave,2003,Andrzej Bartkowiak,"Jet Li, DMX, Mark Dacascos, Anthony Anderson",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,"Gang leader Tony pulls off a major diamond heist with his crew, but cop-turned-criminal Ling knows who has the loot and responds by kidnapping Tony's daughter and holding her for ransom. Unfortunately, Tony's lost the diamonds as well. As he frantically searches for his daughter and the jewels, Tony pairs with a high-kicking government agent who once worked with Ling and seeks revenge on him.","['Tony', 'Ling']"
1324,Taxi 3,2003,G¨¦rard Krawczyk,"Samy Naceri, Fr¨¦d¨¦ric Diefenthal, Bernard Farcy, Bai Ling",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"A gang of thieves calling themselves the Santa Claus Gang are wreaking havoc, and the police can't keep up. Police Captain Gilbert is distracted by a Chinese reporter writing a story on his squad, and taxi driver Daniel is in the midst of a relationship crisis. After a string of mistakes in which the thieves outsmart the police time and time again, Daniel and his super-taxi pitch in.","['Chinese', 'Gilbert', 'the Santa Claus Gang', 'Daniel']"
1325,xXx,2002,Rob Cohen,"Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.","['Xander Cage', 'Yorgi', 'the US Government']"
1326,Reindeer Games,2000,John Frankenheimer,"Ben Affleck, Gary Sinise, Charlize Theron, James Frain",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"After assuming his dead cellmate's identity to get with his girlfriend, an ex-con finds himself the reluctant participant in a casino heist.",[]
